,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,000001.SZ,20220310,20211231,1.73,1.73,8.7284,8.7284,4.1645,0.5555,7.9551,106000000.0,36230000000.0,,,,,,,,0.0361,30105000000.0,,,,,,,,,,,,,165158000000.0,1.8724,16.7734,-9.93,8.5107,-2.7686,,,,21.452,,,,21.452,,28.301,,,,27.1485,,9.5674,10.85,9.5395,,0.7739,,9.5674,,91.9647,12.4451,12.362,,,,,,,,,11.4451,0.0874,,,,,-0.0426,,0.7739,0.7739,12532000000.0,27.086,,,1.8363,1.8457,0.1473,-158.6164,23.5714,23.5714,-1096.3855,24.5902,24.8272,25.6084,25.6,-1092.5809,15.661,10.6,10.1346,8.6005,10.317,10.317,14.103,-36.4784,8.6005
1,000001.SZ,20211021,20210930,1.4,1.4,6.5542,6.5542,4.1645,0.5555,7.9357,143000000.0,28992000000.0,,,,,,,,0.0273,24747000000.0,,,,,,,,,,,,,164782000000.0,1.5013,16.4338,-6.48,8.4913,-0.2145,,,,22.9067,,,,22.9067,,27.8088,,,,28.9559,,7.7385,8.86,7.7005,,0.6251,,10.318,,91.9874,12.4803,12.3794,,,,,,,,,11.4803,0.0871,,,,,-0.0282,,0.8335,0.6251,11926000000.0,28.9229,,,3.016,2.9975,0.2413,-23.1381,26.1261,26.1261,-510.1,27.3346,27.6174,30.0786,29.9,-509.8247,20.014,8.4,8.606,6.7907,9.116,9.116,11.1779,51.9502,8.3861
2,000001.SZ,20210820,20210630,0.8,0.8,4.3636,4.3636,4.1645,0.5555,7.3812,72000000.0,17511000000.0,,,,,,,,0.0184,14570000000.0,,,,,,,,,,,,,154020000000.0,0.9061,15.8327,-5.98,7.9367,0.9877,,,,20.7641,,,,20.7641,,27.35,,,,26.4702,,4.7437,5.17,4.7243,,0.3826,,9.4874,,92.0146,12.5229,12.3995,,,,,,,,,11.5228,0.0868,,,,,-0.0267,,0.7652,0.3826,12084000000.0,26.3829,,,1.9874,1.9738,0.1603,-243.4463,21.2121,21.2121,-353.0303,26.9324,27.0313,28.5495,28.9,-351.8507,19.7581,4.4,5.7067,3.5872,8.1095,8.1095,6.1631,-26.6301,7.341
3,000001.SZ,20210820,20210630,,,4.3636,4.3636,4.1645,0.5555,7.3812,,,,,,,,,,0.0184,14570000000.0,,,,,,,,,,,,,154020000000.0,0.9061,15.8327,-5.9761,7.9367,0.9877,,,,20.7641,,,,20.7641,,27.35,,,,26.4702,,4.7437,,,,0.3826,,9.4874,,92.0146,12.5229,12.3995,,,,,,,,,11.5228,0.0868,,,,,-0.0267,,0.7652,0.3826,12084000000.0,26.3829,,,1.9874,,0.1603,-243.4463,21.2121,21.2121,-352.7348,26.9324,27.0313,28.5495,,-351.8507,19.7581,4.4401,5.7067,3.5872,8.1095,8.1095,6.1631,-26.6301,7.341
4,000001.SZ,20210421,20210331,0.42,0.42,2.1534,2.1534,4.1645,0.5555,7.1775,21000000.0,10111000000.0,,,,,,,,0.0092,9412000000.0,,,,,,,,,,,,,150068000000.0,0.5221,15.5969,-0.6,7.7331,0.2288,,,,24.2462,,,,24.2462,,28.1181,,,,30.9395,,2.7505,2.72,2.7448,,0.2241,,11.002,,91.8518,12.2726,12.2722,,,,,,,,,11.2726,0.0887,,,,,-0.0028,,0.8964,0.2241,12350000000.0,30.8079,,,2.7505,2.7448,0.2241,-27.6467,5.0,5.0,-164.5,17.5577,17.4849,18.5307,18.9,-164.1619,12.0852,2.9,2.3377,2.3305,10.183,10.183,10.183,61.8958,5.7505
5,000001.SZ,20210202,20201231,1.4,1.4,7.9121,7.9121,4.1645,0.5555,6.7601,88000000.0,28840000000.0,,,,,,,,0.0365,26609000000.0,,,,,,,,,,,,,141967000000.0,1.4907,15.1596,-0.83,7.3156,5.1475,,,,18.8404,,,,18.8404,,29.106,,,,24.0384,,8.5445,9.58,8.5185,,0.6881,,8.5445,,91.8512,12.2717,12.4168,,,,,,,,,11.2717,0.0887,,,,,-0.0039,,0.6881,0.6881,11466000000.0,23.9374,,,1.8066,1.8049,0.1481,-126.7213,-9.0909,-3.4483,59.7087,1.7085,1.4183,2.5998,2.7,59.6227,-11.812,7.7,13.4408,16.3421,11.2962,11.2962,5.6514,-29.1016,16.3421
6,000001.SZ,20210202,20201231,1.4,1.4,7.9121,7.9121,4.1645,0.5555,6.7601,88000000.0,28840000000.0,,,,,,,,0.0365,26609000000.0,,,,,,,,,,,,,141967000000.0,1.4907,15.1596,-0.83,7.3156,5.1475,,,,18.8404,,,,18.8404,,29.106,,,,24.0384,,8.5445,9.58,8.5185,,0.6881,,8.5445,,91.8512,12.2717,12.4168,,,,,,,,,11.2717,0.0887,,,,,-0.0039,,0.6881,0.6881,11466000000.0,23.9374,,,1.8066,1.8049,0.1481,-126.7213,-9.0909,-3.4483,59.7087,1.7085,1.4183,2.5998,2.7,59.6227,-11.812,7.7,13.4408,16.3421,11.2962,11.2962,5.6514,-29.1016,16.3421
7,000001.SZ,20201022,20200930,1.11,1.11,6.0066,6.0066,4.1645,0.5555,6.7332,82000000.0,22316000000.0,,,,,,,,0.0281,19814000000.0,,,,,,,,,,,,,141445000000.0,1.1542,14.8834,1.58,7.2887,5.8751,,,,19.2152,,,,19.2152,,27.5342,,,,24.813,,6.6685,7.63,6.6441,,0.5406,,8.8913,,91.7465,12.1161,12.3349,,,,,,,,,11.1161,0.09,,,,,0.0077,,0.7208,0.5406,10860000000.0,24.7298,,,2.4558,2.4586,0.2046,147.4108,-15.9091,-15.9091,-63.7,-5.8282,-6.0308,-5.1776,-5.1,-63.6624,-23.8629,5.8,10.354,14.6295,13.2151,13.2151,8.8445,69.1037,24.5417
8,000001.SZ,20200828,20200630,0.66,0.66,4.0363,4.0363,4.1645,0.5555,6.2838,92000000.0,13586000000.0,,,,,,,,0.0193,9402000000.0,,,,,,,,,,,,,132725000000.0,0.7048,14.5034,-1.32,6.8394,0.9583,,,,17.4625,,,,17.4625,,27.2955,,,,22.5449,,4.1175,4.59,4.0898,,0.337,,8.235,,91.5906,11.8915,12.2184,,,,,,,,,10.8915,0.0918,,,,,-0.0067,,0.674,0.337,10909000000.0,22.453,,,1.4579,1.4437,0.1235,-108.0516,-22.3529,-15.3846,-185.7,-11.868,-12.0782,-11.1991,-11.3,-197.102,-35.1543,3.1,6.0814,12.2735,15.4786,15.4786,14.2817,-39.4344,36.9419
9,000001.SZ,20200421,20200331,0.4,0.4,1.9543,1.9543,4.1645,0.5555,6.2375,42000000.0,8506000000.0,,,,,,,,0.0094,7555000000.0,,,,,,,,,,,,,131825000000.0,0.4405,14.5528,0.93,6.793,-0.0628,,,,22.5386,,,,22.5386,,27.9439,,,,28.9986,,2.5695,2.77,2.5569,,0.2118,,10.278,,91.4731,11.7276,12.1312,,,,,,,,,10.7277,0.0932,,,,,0.0048,,0.8472,0.2118,11025000000.0,28.8931,,,2.5695,2.5569,0.2118,47.4318,5.2632,11.1111,-70.0,13.7685,13.3078,14.7999,14.6,-66.1759,-18.2425,3.4,4.9054,12.5796,16.7816,16.7816,16.7816,97.2382,40.4152
10,000001.SZ,20200214,20191231,1.54,1.45,7.109,7.109,4.1645,0.5555,5.842,109000000.0,28086000000.0,,,,,,,,0.0375,25145000000.0,,,140998698537.5276,,,,,,,,,,124151000000.0,1.4529,14.0696,-2.06,6.3976,0.8893,,,,20.4374,,,,20.4374,,29.6119,,,,26.3044,,10.1966,11.3,10.1572,,0.7664,,10.1966,,92.0544,12.5856,13.3044,,,,,,,,,11.5856,0.0863,,,,,-0.011,,0.7664,0.7664,11339000000.0,26.2689,,,1.522,1.517,0.1196,-355.7286,10.7914,4.3165,38.3234,12.3325,12.4383,13.6071,13.7,30.1764,-12.8692,9.8,15.2249,30.3868,18.1997,18.1997,16.4648,-47.7707,30.3868
11,000001.SZ,20191022,20190930,1.32,1.32,5.3055,5.3055,4.1645,0.5555,5.9411,94000000.0,23527000000.0,,,,,,,,0.0289,21921000000.0,,,,,,,,,,,,,126074000000.0,1.2172,13.8163,4.35,6.4967,-0.1569,,,,22.9424,,,,22.9424,,29.4266,,0.405,,29.8306,,8.9454,9.71,8.9098,,0.6629,,11.9272,,92.2304,12.8707,13.4938,,,,,,,,,11.8706,0.0842,,,,,0.0247,,0.8839,0.6629,10798000000.0,29.7947,,,3.0176,3.015,0.2252,165.2424,15.7895,15.7895,759.0909,15.4017,15.4709,15.4722,15.6,846.9496,-5.7091,7.8,8.4564,20.0094,18.8013,18.8013,19.393,2.9508,22.4639
12,000001.SZ,20190808,20190630,0.85,0.78,3.9504,3.9504,3.2886,0.6279,6.2362,87000000.0,15316000000.0,,,,,,,,0.0194,14277000000.0,,,22891574763.7854,,,,,,,,,,117857000000.0,0.8971,13.5658,1.54,6.8641,-0.0129,,,,22.7086,,,,22.7086,,29.4579,,,,29.5405,,6.2028,6.32,6.1678,,0.4395,,12.4056,,92.8538,13.9935,14.1134,,,,,,,,,12.9935,0.077,,,,,0.0079,,0.879,0.4395,10775000000.0,29.4903,,,3.1355,3.1107,0.2235,-75.6711,16.4384,6.8493,258.1,15.1419,15.1782,15.1885,14.9,254.554,2.4119,7.5,5.0364,6.8992,18.4972,18.4972,21.0098,7.2722,12.4756
13,000001.SZ,20190424,20190331,0.38,0.36,1.8914,1.8914,3.2886,0.6279,5.9178,24000000.0,7422000000.0,,,,,,,,0.0093,7542000000.0,,,,,,,,,,,,,112390000000.0,0.4337,13.2359,3.1,6.5457,2.2808,,,,22.9277,,,,22.9277,,29.6219,,,,29.7666,,3.0331,2.91,3.0233,,0.2143,,12.1324,,92.8916,14.0679,14.1529,,,,,,,,,13.0679,0.0765,,,,,0.0162,,0.8572,0.2143,10821000000.0,29.7789,,,3.0331,3.0233,0.2143,163.764,15.1515,9.0909,28.6,12.6165,12.8867,12.9037,13.2,28.3336,0.5096,5.0,3.2642,4.5392,15.8781,15.8781,15.8781,69.8647,12.3313
